site_name,project_short_name,collector,organization_name,departamento,subproject_name,placename,lat,lon,n,ospMamiferos,ospAves,ndepl,start_date,end_date,ospTot,row,nspMamiferos,nspAves,nspTot,effort,rank_onsp,rank_onMamiferos,rank_onAves,rank_effort,rank_images,rank_ndepl,site_name
9999,Días de cámara trampa - Datos 2023,19 personas en todo el pais,,Colombia,D�as de c�mara trampa - Datos 2023,D�as de c�mara trampa - Datos 2023,NA,NA,13396.0,118.0,58.0,57.0,24/09/23,29/12/23,178.0,NA,118.0,58.0,178.0,2148.0,195.0,206.0,220.0,193.0,191.0,218.0,9999
2003610,DCT_Aguacaliente,Reserva Las Tominejas - Loreta Rosselli,Red Colombiana de Fototrampeo,COL,DCT_Aguacaliente_2023,DCT_Aguacaliente_C7,4.929167,-74.110278,590.0,4.0,4.0,3.0,2023-09-30,2023-11-12,8.0,0.0,4.0,4.0,8.0,124.0,10.0,14.0,6.0,7.0,6.0,9.0,2003610
2003748,DCT_Silvestre,David Colorado,Instituto Humboldt,COL,DCT_SIlvestre_2023,DCT_Silvestre_C18,6.122457,-75.510778,6475.0,4.0,13.0,5.0,2023-10-01,2023-10-31,17.0,1.0,4.0,13.0,17.0,150.0,4.0,14.0,1.0,5.0,1.0,3.0,2003748
2003751,DCT_ReservaNaturalElAmparo,Reserva Natural El Amparo,Instituto Humboldt,COL,DCT_ReservaNaturalElAmparo_2023,DCT_ReservaNaturalElAmparo_C5_Laguna del Centro,4.02933,-72.60333,105.0,3.0,0.0,2.0,2023-10-11,2023-11-17,3.0,2.0,3.0,0.0,3.0,61.0,18.0,18.0,19.0,12.0,16.0,13.0,2003751
2004631,DCT_Fibtex_RN_El_Amparo,Fibtex,Instituto Humboldt,COL,DCT_Fibtex_RN_El_Amparo_2023,DCT_Fibtex_RN_El_Amparo_C2_Puerto Buho,4.0107,-72.612883,305.0,6.0,1.0,1.0,2023-10-10,2023-11-17,7.0,3.0,6.0,1.0,7.0,38.0,11.0,8.0,15.0,15.0,12.0,19.0,2004631
2004654,DCT_Jardín Botánico_Medellín ,Jennifer Calderón,Instituto Humboldt,COL,DCT_Jardín Botánico Medellín_2023,DCT_JBM_C1,5.5059,-75.8487,530.0,5.0,0.0,3.0,2023-10-01,2023-10-31,5.0,4.0,5.0,0.0,5.0,90.0,14.0,10.0,19.0,9.0,9.0,9.0,2004654
2004667,DCT_Cerrejon,Carolina Polo,Instituto Humboldt,COL,DCT_Cerrejon_2023,DCT_Cerrejon_21,11.083718,-72.569947,1155.0,18.0,7.0,12.0,2023-09-26,2023-11-06,26.0,5.0,18.0,7.0,26.0,492.0,1.0,1.0,5.0,1.0,4.0,1.0,2004667
2006786,DCT_Yataro,Francisco Yemail,Red Colombiana de Fototrampeo,COL,DCT_Yataro_2023,DCT_Yataro_C1,4.6144167,-73.949083,135.0,3.0,1.0,1.0,2023-10-01,2023-10-31,4.0,6.0,3.0,1.0,4.0,30.0,16.0,18.0,15.0,18.0,15.0,19.0,2006786
2006788,DCT_Macanal,Nicolas Pérez-Tirado,Red Colombiana de Fototrampeo,COL,DCT_Macanal_2023,DCT_Macanal_C1,4.998309,-73.321756,60.0,1.0,0.0,1.0,2023-10-01,2023-10-31,1.0,7.0,1.0,0.0,1.0,30.0,19.0,19.0,19.0,18.0,18.0,19.0,2006788
2006789,DCT_ReservaNaturalVía,Danny Guillermo Villa Manrique,Red Colombiana de Fototrampeo,COL,DCT_ReservaNaturalVía_2023,DCT_ReservaNaturalVía_C1,5.8638611,-75.40955556,40.0,3.0,1.0,1.0,2023-10-03,2023-10-20,4.0,8.0,3.0,1.0,4.0,17.0,16.0,18.0,15.0,19.0,19.0,19.0,2006789
2006804,DCT_Cañon de la Llorona,Daniel Higuita Tamayo,Red Colombiana de Fototrampeo,COL,DCT_Cañon de la Llorona_2023,DCT_Cañon de la Llorona_C1,6.469378,-76.0665568,60.0,3.0,0.0,1.0,2023-09-28,2023-10-31,3.0,9.0,3.0,0.0,3.0,33.0,18.0,18.0,19.0,16.0,18.0,19.0,2006804
2006807,DCT_NativeBiodiverso,Nicolas EcheverrI,Red Colombiana de Fototrampeo,COL,DCT_NativeBiodiverso_2023,DCT_NativeBiodiverso_C1,5.976929,-75.436022,2135.0,4.0,8.0,1.0,2023-10-01,2023-11-30,12.0,10.0,4.0,8.0,12.0,60.0,5.0,14.0,3.0,14.0,2.0,19.0,2006807
2006812,DCT_Turbaco,Jorge Alcalá Arellano,Red Colombiana de Fototrampeo,COL,DCT_Turbaco_2023,DCT_Turbaco_C1,10.3346111,-75.3812222,540.0,7.0,1.0,3.0,2023-10-01,2023-10-31,8.0,11.0,7.0,1.0,8.0,90.0,10.0,7.0,15.0,9.0,8.0,9.0,2006812
2006900,DCT Grupo GUBICA,Maria Liliana Huertas,Red Colombiana de Fototrampeo,COL,DCT_GUBICA_2023,DCT_GUBICA_GUBICA1,2.671306,-75.257889,585.0,8.0,2.0,3.0,2023-10-01,2023-12-04,10.0,12.0,8.0,2.0,10.0,167.0,7.0,6.0,8.0,4.0,7.0,9.0,2006900
2006901,DCT_Grupo Interpretes Ambientales Miraflore,Juan Manuel Jordan Calderon,Red Colombiana de Fototrampeo,COL,DCT_Grupo Interpretes Ambientales Miraflores_2023,DCT_Grupo Interpretes Ambientales Miraflores_IAM1,2.1495,-75.53786,160.0,4.0,1.0,2.0,2023-10-08,2023-12-08,5.0,13.0,4.0,1.0,5.0,75.0,14.0,14.0,15.0,11.0,14.0,13.0,2006901
2006902,DCT_Grupo de monitoreo Yaguá-Eté ,Fabian Cubillos Olaya,Red Colombiana de Fototrampeo,COL,DCT_Grupo de monitoreo Yaguá-Eté_2023,YAGUA-ETE.4,1.646283,-76.022783,405.0,8.0,1.0,4.0,2023-10-03,2023-11-05,9.0,14.0,8.0,1.0,9.0,132.0,8.0,6.0,15.0,6.0,11.0,5.0,2006902
2006903,DCT_Grupo de Monitoreo Ferchin,Alejandra Martinez,Red Colombiana de Fototrampeo,COL,DCT_Grupo de Monitoreo de Fauna y Flora Ferchin Guardián de la Tierra_2023,B2133,2.254519,-75.454106,195.0,5.0,1.0,2.0,2023-10-01,2023-10-31,6.0,15.0,5.0,1.0,6.0,60.0,12.0,10.0,15.0,14.0,13.0,13.0,2006903
2006904,DCT_Grupo Renacer de la Montaña,Herney Solorzano Salas,Red Colombiana de Fototrampeo,COL,DCT_Grupo Renacer de la Montaña_2023,CT-GMCR 04,1.766236,-75.776995,1065.0,10.0,7.0,4.0,2023-10-02,2023-12-29,18.0,16.0,10.0,7.0,18.0,169.0,3.0,3.0,5.0,3.0,5.0,5.0,2006904
2006905,DCT_Grupo de Monitoreo Jaguarundi,Andrés Vargas Álvarez,Red Colombiana de Fototrampeo,COL,DCT_Grupo de Monitoreo Jaguarundi_2023,CT-GMCJ 06,2.77373,-75.18082,1690.0,14.0,8.0,6.0,2023-10-07,2023-11-18,22.0,17.0,14.0,8.0,22.0,250.0,2.0,2.0,3.0,2.0,3.0,2.0,2006905
2006906,DCT_Grupo Guardianes del Ambica,Luis Fernando cruz Esquivel,Red Colombiana de Fototrampeo,COL,DCT_Grupo Guardianes del Ambica_2023,CT-GMCGA-03,3.3263399,-74.7111779,515.0,8.0,2.0,2.0,2023-09-24,2023-11-20,10.0,18.0,8.0,2.0,10.0,80.0,7.0,6.0,8.0,10.0,10.0,13.0,2006906
